ID,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalCasesPerMillion,TotalDeathsPerMillion,TotalTests,TotalTestsPerMillion,TotalPopulation
1,Yemen,9369,1778,5921,1670,306,58,265253,8651,30660443
2,Vietnam,839662,20555,782199,36908,8529,209,42517091,431850,98453377
3,Uzbekistan,178637,1271,174213,3153,5241,37,1377915,40425,34086135
4,UAE,737890,2114,731295,4481,73477,211,87246490,8687776,10042442
5,Turkey,7444552,66180,6893476,484896,87077,774,89847975,1050928,85493959
6,Timor-Leste,19673,119,19332,222,14569,88,169501,125523,1350361
7,Thailand,1720919,17751,1592903,110265,24576,254,9201621,131408,70023091
8,Tajikistan,17084,124,16960,0,1742,13,,,9809760
9,Taiwan,16305,846,15306,153,683,35,6754661,282957,23871692
10,Syria,36953,2341,24503,10109,2048,130,103566,5741,18040518
11,Sri Lanka,526383,13331,480097,32955,24452,619,5343397,248211,21527599
12,Singapore,126966,162,100497,26307,21487,27,20013983,3387082,5908916
13,Saudi Arabia,547591,8745,536626,2220,15424,246,29382555,827600,35503333
14,S. Korea,332816,2583,298022,32211,6484,50,14977419,291813,51325401
15,Qatar,237424,607,235840,977,84559,216,2718685,968260,2807805
16,Philippines,2674814,39660,2536260,98894,24003,356,21784989,195493,111436429
17,Palestine,413410,4236,391359,17815,78714,807,2538939,483420,5252032
18,Pakistan,1258959,28134,1188562,42263,5562,124,19911021,87968,226343318
19,Oman,303978,4102,299309,567,57664,778,25000000,4742467,5271518
20,Nepal,802861,11243,776831,14787,26939,377,4296171,144152,29802972
21,Myanmar,478651,18134,431275,29242,8723,330,4504094,82080,54874222
22,Mongolia,326738,1450,300074,25214,97667,433,4022930,1202519,3345419
23,Maldives,85548,234,84064,1250,154797,423,1528547,2765865,552647
24,Malaysia,2339594,27329,2195669,116596,71126,831,31591230,960408,32893558
25,Macao,77,,64,13,117,,4951,7495,660595
26,Lebanon,630180,8385,602715,19080,92858,1236,4780275,704382,6786483
27,Laos,28540,26,6558,21956,3852,4,524190,70742,7409837
28,Kyrgyzstan,179338,2620,174086,2632,26923,393,1737541,260851,6661055
29,Kuwait,412079,2454,409002,623,94711,564,4461123,1025335,4350895
30,Kazakhstan,905641,11559,847456,46626,47509,606,11575012,607215,19062471
31,Jordan,833471,10811,808972,13688,80669,1046,10341403,1000905,10332048
32,Japan,1710973,17941,1681202,11830,13581,142,25400317,201617,125982980
33,Israel,1306333,7920,1273091,25322,140074,849,27731214,2973538,9326000
34,Iraq,2023761,22563,1945366,55832,48920,545,15409353,372485,41369013
35,Iran,5702890,122592,5217999,362299,66809,1436,32619228,382134,85360646
36,Indonesia,4227932,142651,4060851,24430,15252,515,41624406,150158,277204401
37,India,33971607,450814,33293478,227315,24313,323,583631490,417693,1397272327
38,Hong Kong,12269,213,11953,103,1620,28,25587465,3378146,7574410
39,Georgia,635583,9269,602372,23942,159718,2329,9296762,2336217,3979408
40,Cyprus,119642,559,90755,28328,98184,459,9420908,7731251,1218549
41,China,96423,4636,91074,713,67,3,160000000,111163,1439323776
42,Cambodia,115068,2527,108403,4138,6763,149,2509222,147486,17013282
43,Brunei,8980,64,6690,2226,20280,145,403077,910269,442811
44,Bhutan,2613,3,2603,7,3340,4,1166806,1491278,782420
45,Bangladesh,1562359,27688,1523833,10838,9368,166,9952196,59673,166777589
46,Bahrain,275654,1390,273672,592,155162,782,6597180,3713470,1776554
47,Azerbaijan,492179,6664,473023,12492,47992,650,4952737,482935,10255503
48,Armenia,272957,5575,249158,18224,91895,1877,1811131,609747,2970299
49,Afghanistan,155540,7228,126459,21853,3884,181,764934,19103,40041972
